name,description,colorDark,colorLight,近戰,遠程,魔法,輔助,物理,特殊,變化,其他
勇敢的,"天生的冒險家，字典裡沒有「害怕」。無論對手多強，總是第一個咆哮著衝鋒陷陣，享受近距離肉搏的快感。",#e74c3c,#c0392b,1.6,0.7,0.8,0.4,1.5,0.9,0.6,1
膽小的,"有著玻璃般易碎的心，任何風吹草動都可能讓它嚇得魂飛魄散。極度厭惡近身戰鬥，傾向於在遠距離進行騷擾或施放保護技能。",#3498db,#2980b9,0.3,1.5,1,1.4,0.4,0.7,1.3,1
冷静的,"宛如深思熟慮的棋手，眼神深邃銳利，能洞察戰場變化。每一次出手都經過精密計算，偏好用魔法和特殊效果控制戰局。",#2ecc71,#27ae60,0.6,1.1,1.4,1.3,0.7,1.5,1.2,1
急躁的,"如同上緊發條的火山，行動總比思考快半拍。渴望速戰速決，會不計後果地釋放自己最強大的物理或魔法技能。",#f39c12,#e67e22,1.3,1.3,1.4,0.5,1.4,1,0.7,1
樂天的,"永遠掛著微笑，彷彿沒有任何事能讓它沮喪。戰鬥中也充滿活力，喜歡使用華麗且正面的輔助技能來鼓舞隊友。",#f1c40f,#f39c12,0.8,1.1,1.2,1.6,0.9,1,1.3,1
懶散的,"對任何事都提不起勁，大部分時間都在打盹。戰鬥時只會選擇最不費力的方式攻擊，偏好遠程和持續傷害技能。",#8D6E63,#A1887F,0.4,1.4,0.8,1.3,0.5,1.4,1.2,1
頑固的,"一旦做出決定就絕不改變，擁有極高的意志力。戰鬥中偏好防禦和提升自身能力的技能，擅長打持久戰。",#795548,#8D6E63,0.8,0.8,1,1.5,1,0.9,1.4,1
狡猾的,"眼神中總是閃爍著算計的光芒，精通戰場上的詭計。喜歡使用各種變化和特殊類技能來削弱或控制對手。",#9b59b6,#8e44ad,0.6,1.1,1.2,0.8,0.7,1.5,1.6,1
傲慢的,"認為自己是天選之子，對所有事物都表現出不屑。戰鬥中只願意使用威力強大的攻擊性魔法，對輔助他人毫無興趣。",#e91e63,#c2185b,0.9,1.4,1.7,0.3,1.2,1.1,0.5,1
溫和的,"散發著親切的氣息，不喜歡爭鬥。在戰鬥中，它會優先治療隊友，是隊伍中最可靠的後盾。",#a5d6a7,#81c784,0.5,0.7,0.9,1.8,0.6,0.8,1.2,1
忠誠的,"對訓練師有著絕對的信賴，願意為保護夥伴付出一切。戰鬥中會優先使用保護隊友的技能，並勇於承受傷害。",#42a5f5,#1e88e5,1.2,0.9,0.9,1.6,1.3,1,0.8,1
孤僻的,"喜歡獨處，對外界保持警惕。它不擅長團隊合作，但其單體攻擊技能卻異常強大且致命。",#607d8b,#546e7a,1.5,1,1.3,0.4,1.2,1.4,0.7,1
勤奮的,"信奉天道酬勤，通過不懈的努力來彌補天賦的不足。能力平均，但會頻繁使用技能來壓制對手。",#ff7043,#f4511e,1.3,1.3,1.3,1,1.3,1,1,1
優雅的,"動作如行雲流水，充滿藝術感。戰鬥風格華麗，偏好使用速度快且帶有特殊效果的技能。",#ab47bc,#8e24aa,0.7,1.4,1.3,0.9,0.8,1.2,1.5,1
貪吃的,"腦中除了吃還是吃，為了美食可以爆發出驚人的力量。特別喜歡使用能吸取對手生命或能量的技能。",#ffee58,#fdd835,1.3,0.8,0.9,0.6,1.4,1.6,0.7,1
暴躁的,"一點小事就能將其激怒，憤怒是它的力量來源。受傷後攻擊力會大幅提升，偏好捨身攻擊。",#d32f2f,#c62828,1.5,0.9,1,0.5,1.6,0.8,0.7,1
淘氣的,"喜歡惡作劇，讓對手頭痛不已。擅長使用各種降低對手命中或使其混亂的變化類技能。",#ec407a,#d81b60,0.5,1.2,1,0.8,0.6,1.4,1.7,1
可靠的,"沉穩如山，是隊伍中最值得信賴的夥伴。能力均衡，攻守兼備，沒有明顯弱點。",#5c6bc0,#3949ab,1.1,1.1,1.2,1.2,1.2,1.1,1.1,1
善變的,"心情和戰術都像天氣一樣難以預測。它會隨機使用各種技能，讓對手和隊友都捉摸不透。",#7e57c2,#5e35b1,1,1,1,1,1,1,1,1
沉默的,"不言不語，但眼中藏著深邃的智慧。擅長後發制人，在關鍵時刻用強力的特殊魔法給予致命一擊。",#424242,#212121,0.7,1.2,1.5,0.9,0.8,1.6,1.1,1
活潑的,"精力旺盛，一刻也停不下來。在戰場上高速穿梭，使用連續攻擊的技能讓對手應接不暇。",#4dd0e1,#26c6da,1.6,1.2,0.8,0.7,1.4,1,0.9,1
謹慎的,"行事小心翼翼，從不輕易冒險。戰鬥開始時會先用防禦和輔助技能強化自己，確保萬無一失後再進攻。",#8d6e63,#6d4c41,0.7,0.8,1.1,1.6,0.9,1,1.5,1
誠實的,"表裡如一，從不耍小聰明。它的攻擊方式直接而有力，偏好使用高命中率的物理攻擊技能。",#66bb6a,#43a047,1.4,1.1,0.8,0.7,1.5,0.9,0.5,1
自卑的,"總覺得自己不夠好，缺乏自信。但當夥伴遇到危險時，會爆發出意想不到的潛力，特別是在輔助和防禦上。",#90a4ae,#607d8b,0.6,0.8,0.7,1.7,0.5,0.9,1.4,1
浪漫的,"對世界充滿美好的幻想，戰鬥也像是在譜寫詩篇。喜歡使用光、風等屬性的華麗魔法技能。",#ff8a80,#ff5252,0.6,1.3,1.5,0.9,0.7,1.1,1.2,1
現實的,"極度務實，只追求最高效率的勝利。會精準計算傷害，用最少的消耗換取最大的戰果，技能選擇非常功利。",#78909c,#546e7a,1,1.4,1.4,0.8,1.4,1.1,0.8,1
嫉妒的,"無法容忍比自己更出色的存在。當對手使用強力技能或能力提升時，它會變得更具攻擊性。",#cddc39,#c0ca33,1.4,1.2,1.3,0.5,1.5,1.1,0.6,1
無私的,"總是先為他人著想，把團隊的勝利置於首位。擅長犧牲自己部分HP來為隊友提供強大的增益或治療。",#b39ddb,#9575cd,0.4,0.8,0.7,1.9,0.5,0.9,1.2,1
好奇的,"對未知事物充滿強烈興趣，喜歡嘗試各種可能性。戰鬥中會隨機嘗試不同的技能組合，有時會產生奇效。",#4db6ac,#26a69a,0.9,1.1,1.2,0.8,1,1.5,1.5,1
隨和的,"沒有特定的偏好，能很好地適應各種戰況。訓練師的任何指令都能忠實執行，是一個萬能的隊員。",#eeeeee,#e0e0e0,1,1,1,1,1,1,1,1
